RegionID	SizeRank	RegionName	RegionType	StateName	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
395078	15	Seattle, WA	msa	WA	230077.4412767759	244131.14621295326	255086.31058736445	266152.6176193833	287564.20470966294	327661.6132713774	384374.5170196589	415638.9349113071	392584.36906727013	342795.226426445	320642.68065261986	287945.7421059787	267494.2229480809	295833.9137694389	326012.62860504	357389.9280284226	402555.5711708451	451353.9725696319	504149.19564664265	514453.03570580407	638557.2695481324	726176.7750297091	702894.9262269329
394865	16	Minneapolis, MN	msa	MN	147358.02296233096	167606.342707389	186053.87688440047	203154.91024499075	220121.22460133172	235755.3375821641	242985.1419146658	239066.86107670655	220282.88730966058	198709.14262183837	194107.56501305217	175988.01329727695	172494.73141455723	192741.18409528304	209742.33314532597	220727.44839190962	236047.642081514	253532.8547687116	270368.35775398265	283274.10428885283	334975.4968432833	362526.3131203388	359981.7020661887
395056	17	San Diego, CA	msa	CA	227649.43756992274	265002.94923615415	302710.50723073364	362762.0774663606	445154.96958638425	524655.2676012185	532202.7530354094	497007.8757524138	422674.15933912824	358399.1005315914	363142.1216964922	343491.0262719516	341181.6735127798	393202.74950036546	438581.91953750624	470597.18958511256	510715.0226834977	550930.7085408523	586816.3173531253	599205.8080817488	745249.2108654566	868051.3261737296	844861.4450501818
395148	18	Tampa, FL	msa	FL	98487.27194165613	107066.00398584925	117538.96868308262	130462.81475336225	147932.1377200565	179790.07565871984	215360.85212921258	209872.1211453844	175404.23985193364	142219.66334445312	130250.54207990748	115654.73850431183	113724.78908503446	128524.69527943128	144869.45140291922	157948.7085061469	175812.9815547896	193814.61428735033	210797.77359815073	223544.39526332504	288230.55273859255	360303.1411824525	364619.17437700345
394530	19	Denver, CO	msa	CO	205163.6153544451	232154.23889348272	244673.51575465745	248665.68491818593	252884.74350142092	258396.6506193231	261555.14436249377	258579.33766251602	248041.72361308034	241104.66831667945	241007.66968698893	231466.12057253244	235798.79791952248	261477.62475047656	287285.1633232483	327496.45330589585	367216.5122576325	399014.39432662615	427219.61947692296	447186.6047232636	535241.4861473426	595974.2678335846	582635.5117911306
394358	20	Baltimore, MD	msa	MD	134258.77454759876	141078.07232676604	153377.7168915235	173074.533247937	201905.07364828803	244053.8351974459	280629.2557637167	287929.09594545903	273955.0942208102	249032.43206640324	238334.3690026742	222994.87261931866	219752.41597070824	230503.4664876566	241472.80576199922	246076.23158896447	252477.3357331632	260708.68139520733	269762.1151465506	278051.19659004617	322262.010989341	346621.355122185	351797.4563113423
395121	21	St. Louis, MO	msa	MO	105588.97826739219	112969.44187876297	121076.43684746663	129749.86720176949	138885.24015673142	146815.9839491637	153721.2021316823	155663.83112067156	151542.2003203652	144924.89240385697	141533.68346455807	133020.9216620783	127934.64439424158	130173.03587524097	134454.3721322269	139568.82034953905	146721.58970202264	153614.19819809333	160754.63885150955	167624.50915737494	201747.12849788173	223414.86761297655	228386.00432506888
394943	22	Orlando, FL	msa	FL	120084.60554348426	128929.19018412287	138746.21982214856	149717.8301103943	166642.95418171995	206680.85820213237	260068.8425036065	257789.55653293504	214272.8341996266	162250.43312711464	141666.81125682645	126829.37087661187	127748.22394749627	147662.89684724435	169792.2417740524	183302.26221968458	199827.13479615	217717.80248843017	236325.71344429473	251872.58574073165	306250.5973755527	373303.0736727661	381567.1013081411
394458	23	Charlotte, NC	msa	NC	137689.3831551257	142863.27881970062	145425.38832173287	147105.25860319744	149542.8825884629	153088.27731578704	159752.4180190721	168157.46845396372	169728.0496457341	159585.51151548143	153015.85854102776	142772.32805095532	140344.4474799482	147898.85230392145	158010.05447030338	167493.17980277594	182099.7208459985	197596.80519658132	214377.5349574027	227814.65386981916	295192.2227230703	357966.0810926316	361590.2551953902
395055	24	San Antonio, TX	msa	TX	106957.65657997817	105151.3523762391	106145.72799055628	109406.27006129491	117158.95064022683	124240.81715145655	130237.39055503953	138992.85984012412	141381.5584805211	136788.78198686967	135497.99010399953	131417.79471117165	132290.12652429452	138487.6454643637	148862.49258493664	160767.4890172129	172709.85980526567	183780.50035481245	193998.27123310094	202117.35438306243	245655.798949818	288143.04500237206	290906.0925274347
