_id	Population_Rank	Region	RegionType	State	0	HouseCost-01	HouseCost-02	HouseCost-03	HouseCost-04	HouseCost-05	HouseCost-06	HouseCost-07	HouseCost-08	HouseCost-09	HouseCost-10	HouseCost-11	HouseCost-12	HouseCost-13	HouseCost-14	HouseCost-15	HouseCost-16	HouseCost-17	HouseCost-18	HouseCost-19	HouseCost-20	HouseCost-21	HouseCost-22
394878	605	Morgan City, LA	msa	LA	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89717	89540	85332	82569	80991	86786	88247	92370
395091	606	Shelbyville, TN	msa	TN	86844.53226778044	90934	93790	96242	97444	103561	109596	115295	108829	105919	102696	100122	100392	102381	108127	116672	129957	146405	162549	184154	229375	275290	278846
394326	607	Amsterdam, NY	msa	NY	57307.355599457085	61904	67621	73719	82770	93315	99462	101054	102177	97517	95161	94232	94765	93330	92087	93682	96644	102601	109248	115421	147099	164815	168164
753911	608	Ozark, AL	msa	AL	0.0	0	0	64712	66176	70563	76171	80138	82268	82262	78793	77145	78590	82611	83771	83714	85198	84733	89781	95031	112121	126013	134009
394316	609	Alice, TX	msa	TX	0.0	0	0	0	0	0	0	0	0	83711	79500	78463	77637	79199	78859	81893	82715	79525	79127	85064	88969	83762	84440
394628	610	Gardnerville Ranchos, NV	msa	NV	211346.70740534237	228274	248034	277086	339015	413816	450106	410098	367740	295979	257078	229643	227250	256237	296985	321507	346217	374613	410714	447073	584203	658794	631449
394608	611	Fort Polk South, LA	msa	LA	0.0	0	0	0	0	0	0	0	0	0	78212	81265	81345	90010	98359	101796	99759	96812	93459	98415	111704	120873	123285
394437	612	Ca-¦on City, CO	msa	CO	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159054	179201	199290	217113	281074	323432	321145
394903	613	Natchez, MS	msa	LA	0.0	0	0	0	0	0	0	60452	60833	60431	59633	61318	62870	63026	64027	69798	73596	72769	72596	76524	88039	101933	97601
394906	614	New Castle, IN	msa	IN	0.0	0	0	0	0	0	0	0	0	76583	73620	72261	71441	70112	72156	75481	80017	84955	91657	100012	128870	147198	151143
394478	615	Clovis, NM	msa	NM	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129180	126935	123546	132406	141674	145262	148988
394919	616	Norfolk, NE	msa	NE	0.0	0	0	81358	84754	94505	98815	99911	100080	99704	98661	98390	102850	109355	115914	124923	133993	142717	152944	161205	185485	207884	211422
394431	617	Cadillac, MI	msa	MI	0.0	0	0	0	0	0	0	0	71346	67138	61912	59142	61712	64372	68062	72553	76878	83274	113598	123605	141841	155814	158725
395043	618	Ruston, LA	msa	LA	83635.5070944793	87347	90696	94847	99693	105602	115663	122290	123204	122438	121095	116110	119587	123486	127495	134879	143164	149757	154806	158640	179850	190550	192223
395097	619	Sidney, OH	msa	OH	89180.80074013716	93461	96248	99143	102590	104855	107790	112940	114048	109632	106217	103923	107182	112569	118009	122916	126159	130534	137859	146005	176150	191290	194560
395008	620	Pullman, WA	msa	WA	0.0	0	0	0	0	0	185977	193067	189478	174285	161632	145350	148896	160604	171211	182017	191321	202183	216652	231694	308296	354675	362270
394819	621	Malone, NY	msa	NY	53791.80874660578	58318	63383	69068	77149	86804	92271	92982	91169	86774	84538	83752	84447	85530	85867	89073	91249	94562	99824	103654	131092	151083	156215
394527	622	Del Rio, TX	msa	TX	0.0	0	0	0	0	0	0	0	0	102792	100009	99312	98962	96466	96993	101641	105972	111374	114840	123378	144468	161539	168326
394391	623	Blackfoot, ID	msa	ID	0.0	0	0	0	0	0	0	0	0	0	0	0	0	141186	143917	147906	157378	168560	184552	204267	295517	347336	335793
395017	624	Red Wing, MN	msa	MN	124144.71369848988	130765	141944	150475	161584	173027	182897	189445	179077	168078	158925	151948	153599	161823	175469	185985	198004	207944	219420	232924	270885	299471	301101
394918	625	Nogales, AZ	msa	AZ	70126.71534201471	75745	81419	86549	96959	121534	155332	158002	144521	125545	111048	101026	103699	106017	115488	125441	134523	139461	148834	161794	217192	251476	252806
395144	626	Tahlequah, OK	msa	OK	67319.03305275216	71597	74213	76964	80132	83532	86927	90071	89647	89934	88855	89055	89729	91636	93625	96675	99990	102106	103161	105155	148678	172735	178768
394739	627	Kendallville, IN	msa	IN	0.0	0	0	0	0	0	0	0	0	0	0	0	93968	97041	104431	113774	119313	126850	135463	145071	180179	202582	206562
