_id	costavg_2001	costavg_2002	costavg_2003	costavg_2004	costavg_2005	costavg_2006	costavg_2007	costavg_2008	costavg_2009	costavg_2010	costavg_2011	costavg_2012	costavg_2013	costavg_2014	costavg_2015	costavg_2016	costavg_2017	costavg_2018	costavg_2019	costavg_2020	costavg_2021	costavg_2022	populationrank	hlocation	us_state
394354	74511	79892	84631	91208	96738	97882	96199	92629	87142	82938	79273	81784	88266	90020	91084	96758	102204	112155	121635	152408	172444	172957	698	Austin, MN	MN
395082	0	0	0	0	0	0	0	0	0	136440	134429	137088	145381	163265	133721	130743	135900	136817	139921	167384	175425	181836	699	Selinsgrove, PA	PA
395219	0	0	0	0	0	0	0	0	70418	69544	68309	75650	78137	79444	83207	90493	93723	96410	102040	133823	162704	169232	700	West Plains, MO	MO
394934	76101	82361	89516	98210	115405	135569	132357	112014	93985	84336	78883	77701	80575	86285	95436	107422	118510	134754	148545	188338	227012	231388	701	Okeechobee, FL	FL
394690	59317	63801	64768	66096	69551	70231	69806	69641	66382	65031	63028	68685	70023	71277	73850	77234	78521	87863	94543	112611	124306	128387	702	Houghton, MI	MI
394881	0	0	0	0	0	0	0	0	231653	215952	199814	206446	215678	218532	226074	232626	238417	254226	279338	360809	417355	415570	703	Moscow, ID	ID
394476	52977	58249	63705	73406	90632	106938	105137	89250	74883	67654	62202	61592	68924	76369	85278	98822	111555	125451	137753	176941	222974	232772	704	Clewiston, FL	FL
395026	0	0	0	0	0	0	0	0	196249	196714	194180	187788	193250	194289	202515	202724	195354	192277	200101	236162	281382	291666	705	Riverton, WY	WY
394560	0	0	55535	58169	61883	65019	66591	66692	62689	61297	59469	60585	63092	65896	68131	69716	72317	75171	78898	94489	96830	95932	706	El Dorado, AR	AR
395083	31755	32730	33793	34805	36803	40119	44615	43140	44800	42964	39728	38420	41590	49807	51111	52981	50077	50557	49565	55354	56711	60838	707	Selma, AL	AL
394981	0	0	0	0	0	0	0	0	65724	64598	63750	64054	64856	67088	69591	70774	70453	69606	72772	92504	105258	111137	708	Pittsburg, KS	KS
394663	0	0	0	0	0	0	0	0	84225	83028	81855	83923	84570	87928	101339	105017	105169	106710	110471	134346	154006	159176	709	Hannibal, MO	MO
395203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103738	90087	89563	92709	117960	129974	128693	710	Warren, PA	PA
394315	0	0	165703	172406	179834	182897	182538	176738	167337	159651	147937	150086	157180	164619	175865	188367	197144	205588	215908	256760	292128	295075	711	Alexandria, MN	MN
395178	101512	104916	108304	112206	116393	117383	116648	115183	111778	108644	105675	106814	112072	117090	119185	123143	126915	137251	146806	178512	199477	206525	712	Urbana, OH	OH
394654	0	0	0	0	0	0	0	0	0	0	0	47647	45364	46472	52719	56689	59287	59871	68070	86777	93174	93597	713	Greenwood, MS	MS
394434	62137	64886	67312	70296	61650	59886	60222	60040	58935	57211	57168	60567	65572	68527	75390	79025	78229	77499	82973	105907	116938	120820	714	Cambridge, OH	OH
